vedpos;name;place;kolvo;placepriority;
88;"Компьютер, ноутбук, Acer Extensa EX215-51-569V 15.6"" Core i5-10210U, 512 Gb SSD, Windows 10,";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
89;Компьютер, ноутбук, Acer TravelMate P2 TMP259-G2-M-55DP Windows 10,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
90;Компьютер, ноутбук, Lenovo IdeaPad 100-15 Без предустановленного ПО,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
91;"Компьютер, ноутбук, Lenovo IdeaPad 3-15 15.6"" i3-1005G1, 8GB, 512 Gb SSD, Windows 10,";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
92;Компьютер, ноутбук, Lenovo V340-17IKB i3-8145U, 8GB, 1 Tb, Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
93;Компьютер, персональный компьютер, Dell 3470 Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
94;Компьютер, персональный компьютер, Dell 3470-0908 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);4;1;
95;Компьютер, персональный компьютер, Dell Optiplex 3050 MT Windows 10,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
96;Компьютер, персональный компьютер, Dell Vostro 3268, Intel Core i57400/DDR4 4GB/1000GB Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
97;Компьютер, персональный компьютер, Dell Vostro 3268, Intel Core i57400/DDR4 4GB/500GB Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
98;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
99;Компьютер, персональный компьютер, HP 280 G1 MT Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
100;Компьютер, персональный компьютер, HP 400G1PD DM Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
101;Компьютер, персональный компьютер, HP 6300 i3-3220 Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
102;Компьютер, персональный компьютер, HP 7300 Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);9;1;
103;Компьютер, персональный компьютер, HP ProDesk 400 G4 SFF i3-7100, 4 Gb, 500 Gb, Windows 10 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
104;Компьютер, персональный компьютер, HP Z220 Xeon E3-1240 Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
105;Компьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
106;Компьютер, персональный компьютер, HP, Compaq dx2400  Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);4;1;
107;Компьютер, персональный компьютер, HP, dx2300 MT  DualCore PE-2160, Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);5;1;
108;Компьютер, планшет, Apple iPad 128Gb iOS,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
109;Компьютер, системный блок, Dell Vostro 3671 i3-9100, 4 Gb, 1 Tb, Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);6;1;
110;Компьютер, системный блок, Dell Vostro 3681 Core i3-10100, 8GB, 1 Tb, Windows 10 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
111;Компьютер, Системный блок, HP 280 G1 MT HP Care Pack,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
112;Компьютер, Системный блок, HP 3500 Pro MT Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);20;1;
113;Компьютер, Системный блок, HP 400 ProDesk G2 MT Core i5-4590S, 4 Gb, 1 Tb, Windows 7 Pro 64-bit,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
114;Компьютер, системный блок, HP 400 ProDesk G2 MT Core i5-4590S, 4 Gb, 500 Gb, Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
115;Компьютер, системный блок, HP 600 G3 SFF ProDesk Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
116;Компьютер, Системный блок, HP 6000 Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);4;1;
117;Компьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);20;1;
118;Компьютер, Системный блок, HP dc7600 Windows XP Prof Rus,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
