75;1;1;4;15;"Монитор(8528521000), HP 24""";HP ZR2740w 27'';CNT327Y0J4
76;1;3;9;20;Клавиатура, USB Apple Magic Keyboard,;Apple A1843;DTMKN-C0A53E07185B
77;1;4;9;20;Сканер, Canon, P 215 DMS;Canon ImageFormula P-215;FUR05017
78;1;10;9;20;Оборудование для резки и уничтожения бумаги, уничтожитель бумаги(шредер) HSM ShredStar X5-4.5x30;ShredStar X5;510176442
79;1;7;11;11;Принтер, HP, LaserJet P2055dn CE459A;HP LJ P2055dn CE495A;CNC1C11018
80;1;2;9;20;Компьютер, персональный компьютер, HP Z220 Xeon E3-1240 Windows 7 Professional,;HPZ220 Workstation CMT;CZC248BQS6
81;1;8;9;20;ИБП, APC, Back-UPS Pro 900,;APC BR900GI;3B1333X03512
82;1;3;9;20;Клавиатура, USB CHERRY G86-63400,;Cherry SPOS G86;052859 1388AS
83;1;27;9;20;Не в учете;Panasonic KX-DT343RU;1LBCF006691
84;1;8;9;20;ИБП, CyberPower, OR1000ELCDRM1U,;Powerman BackPro 600;1,306E+18
85;1;4;9;20;Принтер, Canon, PIXMA IX6840;Canon PIXMA iX6840;ADHN32350
86;1;9;9;20;Не в учете;HP Folio 13-1001er;CND204KWK0
87;1;1;3;10;"Монитор, Samsung 22""";Samsung 2243NW;MY22HLJZ300593T
88;1;27;9;20;Не в учете;Panasonic KX-T7433RU;0EASA001478
89;1;2;9;20;Компьютер, системный блок, HP 400 ProDesk G2 MT Core i5-4590S, 4 Gb, 500 Gb, Dos,;HP ProDesk 405 G2 MT Business PC ;CZC4322TC4
90;1;8;9;20;Не в учете;APC BR800I;5B1026T13620
91;1;1;1;15;"Монитор(8528521000), HP E241i 24""";HP Elite E241i;CN450418V7
92;1;27;9;20;Не в учете;Panasonic KX-DT343RU;2FACF008181
93;1;2;5;21;Компьютер, системный блок, Dell Vostro 3888 i3, 8GB, 256Gb SSD, Windows 10,;DELL Vostro 3888;JW0K0D3
94;1;8;9;20;ИБП, APC, Back-UPS Pro 900,;APC BR900GI;3B1225X25939
95;1;1;10;12;"Монитор(8528521000), HP 24""";HP LA2405x;CN42420ZCM
96;1;2;9;20;Компьютер, Системный блок, HP 3500 Pro MT Windows 7,;HP PRO 3500 Series MT;RUA41201K7
97;1;27;9;20;Телефон стационарный, аппарат телефонный Panasonic KX-DT521RU;Panasonic KX-DT521RU;6FATE006112
98;1;6;9;20;Не в учете;MP Rico Aficio 161;L9779502076
99;1;1;9;20;Не в учете;IIYAMA ProLite E2483HS-B1;1,12784E+12
100;1;1;9;20;Не в учете;IIYAMA ProLite E2483HS-B1;1,12784E+12
101;1;1;12;13;Не в учете;HP Pavilion 22xi 21.5 IPS LED;3CM3480NVJ
102;1;14;9;20;Сетевое оборудование, коммутатор, HP, 1920-48G,;HPE OfficeConnect 1920S JL386A;CN05K3R2BL
103;1;14;9;20;Сетевое оборудование, коммутатор, HP, 1920-48G,;HPE OfficeConnect 1920S JL386A;CN05K3R1K9
104;1;7;12;7;Не в учете;HP LJ Pro P1505;VNC3K00227
105;1;1;4;5;Не в учете;Samsung 710V C;GS17HSCY409765H
106;1;27;9;20;Не в учете;Panasonic KX-TS2361RUW;0HCKD131164
107;1;2;9;20;Компьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;HP 500B MT;RUA04950RS
108;1;27;9;20;Не в учете;Panasonic KX-TS2361RUW;4HBKA412945
109;1;6;9;20;Не в учете;Panasonic KX-MB2030RU;3HAFQ012511
110;1;1;12;10;"Монитор, Samsung 22""";Samsung E2220NW;0515HLJC02240D
111;1;2;12;18;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Vostro 3670;95FWZS2
112;1;1;9;20;Не в учете;NEC LCD1904M;54302639NB
113;1;2;12;20;Компьютер, системный блок, Dell Vostro 3681 Core i3-10100, 8GB, 1 Tb, Windows 10 Professional,;Vostro 3681;6NQHF73
114;1;27;9;20;Телефон стационарный, аппарат телефонный Panasonic KX-DT521RU;Panasonic KX-DT521RU;7CBTE005248
115;1;2;8;18;Компьютер, системный блок, Lenovo IdeaCentre 90hx001brs Без предустановленного ПО,;Lenovo Ideacentre 310S-08IGM 90HX001URS;R305VHAR
116;1;1;6;9;Не в учете;Samsung 923NW;HA19H9CS608097A
117;1;27;9;20;Не в учете;Panasonic KX-TS2350RUB;9IAMF442598
118;1;27;9;20;Не в учете;Panasonic KX-T2310;8DBTF401229
119;1;27;9;20;Не в учете;Panasonic KX-T2355;5LCZC046562
120;1;1;9;20;Не в учете;Samsung 931C;ME19HVMPC00432R
121;1;2;9;20;Компьютер, Системный блок, HP 3500 Pro MT Windows 7,;HP PRO 3500 Series MT;RUA31501NC
122;1;1;7;12;"Монитор, Samsung S22B300B 21.5""";Samsung S22B300N;2114HLNC702755N
