vedpos;name;place;kolvo;placepriority;
80;€ЃЏ, APC, Back-UPS BR900G-RS,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
81;€ЃЏ, APC, Back-UPS Pro 900,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);16;1;
82;€ЃЏ, CyberPower, OR1000ELCDRM1U,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
83;€нструмент длЯ сетей и компьютерной техники, длЯ заделки кабелЯ, Cabeus HT-3240;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
84;Љлавиатура, USB Apple Magic Keyboard,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
85;Љлавиатура, USB CHERRY G86-63400,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
86;Љолонки длЯ компьютерной техники, Logitech, Z-120;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
87;"Љомпьютер, ноутбук, Acer Extensa EX215-51-569V 15.6"" Core i5-10210U, 512 Gb SSD, Windows 10,";“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
88;Љомпьютер, ноутбук, Acer TravelMate P2 TMP259-G2-M-55DP Windows 10,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
89;Љомпьютер, ноутбук, Lenovo IdeaPad 100-15 Ѓез предустановленного ЏЋ,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
90;"Љомпьютер, ноутбук, Lenovo IdeaPad 3-15 15.6"" i3-1005G1, 8GB, 512 Gb SSD, Windows 10,";“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
91;Љомпьютер, ноутбук, Lenovo V340-17IKB i3-8145U, 8GB, 1 Tb, Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
92;Љомпьютер, персональный компьютер, Dell 3470 Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
93;Љомпьютер, персональный компьютер, Dell 3470-0908 Core i3-8100, 4 Gb, 1 Tb, Linux,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);4;1;
94;Љомпьютер, персональный компьютер, Dell Optiplex 3050 MT Windows 10,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
95;Љомпьютер, персональный компьютер, Dell Vostro 3268, Intel Core i57400/DDR4 4GB/1000GB Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
96;Љомпьютер, персональный компьютер, Dell Vostro 3268, Intel Core i57400/DDR4 4GB/500GB Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
97;Љомпьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);7;1;
98;Љомпьютер, персональный компьютер, HP 280 G1 MT Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
99;Љомпьютер, персональный компьютер, HP 400G1PD DM Windows 7 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
100;Љомпьютер, персональный компьютер, HP 6300 i3-3220 Windows 7,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
101;Љомпьютер, персональный компьютер, HP 7300 Windows 7 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);9;1;
102;Љомпьютер, персональный компьютер, HP ProDesk 400 G4 SFF i3-7100, 4 Gb, 500 Gb, Windows 10 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);3;1;
103;Љомпьютер, персональный компьютер, HP Z220 Xeon E3-1240 Windows 7 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
104;Љомпьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);7;1;
105;Љомпьютер, персональный компьютер, HP, Compaq dx2400  Windows 7,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);4;1;
106;Љомпьютер, персональный компьютер, HP, dx2300 MT  DualCore PE-2160, Windows 7,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);5;1;
107;Љомпьютер, планшет, Apple iPad 128Gb iOS,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
108;Љомпьютер, системный блок, Dell Vostro 3671 i3-9100, 4 Gb, 1 Tb, Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);6;1;
109;Љомпьютер, системный блок, Dell Vostro 3681 Core i3-10100, 8GB, 1 Tb, Windows 10 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
110;Љомпьютер, ‘истемный блок, HP 280 G1 MT HP Care Pack,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
111;Љомпьютер, ‘истемный блок, HP 3500 Pro MT Windows 7,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);20;1;
112;Љомпьютер, ‘истемный блок, HP 400 ProDesk G2 MT Core i5-4590S, 4 Gb, 1 Tb, Windows 7 Pro 64-bit,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
113;Љомпьютер, системный блок, HP 400 ProDesk G2 MT Core i5-4590S, 4 Gb, 500 Gb, Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);3;1;
114;Љомпьютер, системный блок, HP 600 G3 SFF ProDesk Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
115;Љомпьютер, ‘истемный блок, HP 6000 Windows 7 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);4;1;
116;Љомпьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);20;1;
117;Љомпьютер, ‘истемный блок, HP dc7600 Windows XP Prof Rus,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
118;Љомпьютер, ‘истемный блок, HP ProDesk 600 G1 TWR Core i5-4570, 4 Gb, 500 Gb, Dos,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);3;1;
119;Љомпьютер, системный блок, Lenovo IdeaCentre 90hx001brs Ѓез предустановленного ЏЋ,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
120;‹естница хозЯйственнаЯ, стремЯнка, алюминеваЯ, L=1,24м,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
